,Date,Value
3222,2016-01-01,193.99
3223,2016-01-02,166.0
3224,2016-01-03,173.02
3225,2016-01-04,188.62
3226,2016-01-05,186.69
3227,2016-01-06,192.81
3228,2016-01-07,207.12
3229,2016-01-08,214.27
3230,2016-01-09,190.43
3231,2016-01-10,199.5
3232,2016-01-11,218.86
3233,2016-01-12,227.91
3234,2016-01-13,234.13
3235,2016-01-14,252.51
3236,2016-01-15,254.01
3237,2016-01-16,249.3
3238,2016-01-17,243.76
3239,2016-01-18,248.18
3240,2016-01-19,252.73
3241,2016-01-20,255.2
3242,2016-01-21,249.87
3243,2016-01-22,216.28
3244,2016-01-23,192.17
3245,2016-01-24,156.33
3246,2016-01-25,167.1
3247,2016-01-26,187.15
3248,2016-01-27,178.45
3249,2016-01-28,204.14
3250,2016-01-29,186.04
3251,2016-01-30,199.58
3252,2016-01-31,192.52
3253,2016-02-01,181.44
3254,2016-02-02,205.83
3255,2016-02-03,221.21
3256,2016-02-04,192.38
3257,2016-02-05,183.09
3258,2016-02-06,181.81
3259,2016-02-07,193.82
3260,2016-02-08,214.71
3261,2016-02-09,217.63
3262,2016-02-10,216.82
3263,2016-02-11,221.55
3264,2016-02-12,224.83
3265,2016-02-13,223.76
3266,2016-02-14,224.61
3267,2016-02-15,248.09
3268,2016-02-16,241.7
3269,2016-02-17,235.83
3270,2016-02-18,223.97
3271,2016-02-19,219.9
3272,2016-02-20,188.67
3273,2016-02-21,166.39
3274,2016-02-22,191.7
3275,2016-02-23,207.89
3276,2016-02-24,225.99
3277,2016-02-25,232.33
3278,2016-02-26,225.82
3279,2016-02-27,220.47
3280,2016-02-28,216.77
3281,2016-02-29,226.67
3282,2016-03-01,200.95
3283,2016-03-02,224.83
3284,2016-03-03,210.52
3285,2016-03-04,219.54
3286,2016-03-05,216.34
3287,2016-03-06,217.01
3288,2016-03-07,224.6
3289,2016-03-08,224.35
3290,2016-03-09,217.57
3291,2016-03-10,211.06
3292,2016-03-11,197.11
3293,2016-03-12,176.16
3294,2016-03-13,168.02
3295,2016-03-14,184.81
3296,2016-03-15,196.47
3297,2016-03-16,192.41
3298,2016-03-17,183.87
3299,2016-03-18,205.97
3300,2016-03-19,189.36
3301,2016-03-20,171.07
3302,2016-03-21,178.63
3303,2016-03-22,174.99
3304,2016-03-23,179.29
3305,2016-03-24,179.95
3306,2016-03-25,141.49
3307,2016-03-26,153.29
3308,2016-03-27,155.29
3309,2016-03-28,171.58
3310,2016-03-29,179.6
3311,2016-03-30,168.65
3312,2016-03-31,159.84
3313,2016-04-01,172.83
3314,2016-04-02,142.73
3315,2016-04-03,130.95
3316,2016-04-04,143.16
3317,2016-04-05,142.74
3318,2016-04-06,161.68
3319,2016-04-07,170.39
3320,2016-04-08,153.63
3321,2016-04-09,151.13
3322,2016-04-10,149.78
3323,2016-04-11,152.87
3324,2016-04-12,146.65
3325,2016-04-13,133.61
3326,2016-04-14,133.8
3327,2016-04-15,153.8
3328,2016-04-16,161.9
3329,2016-04-17,150.46
3330,2016-04-18,161.44
3331,2016-04-19,131.56
3332,2016-04-20,124.96
3333,2016-04-21,126.89
3334,2016-04-22,145.18
3335,2016-04-23,144.8
3336,2016-04-24,150.47
3337,2016-04-25,167.11
3338,2016-04-26,182.05
3339,2016-04-27,178.35
3340,2016-04-28,183.24
3341,2016-04-29,179.77
3342,2016-04-30,149.91
3343,2016-05-01,137.24
3344,2016-05-02,128.63
3345,2016-05-03,129.6
3346,2016-05-04,112.71
3347,2016-05-05,95.95
3348,2016-05-06,86.32
3349,2016-05-07,77.19
3350,2016-05-08,69.13
3351,2016-05-09,72.16
3352,2016-05-10,79.47
3353,2016-05-11,81.88
3354,2016-05-12,76.16
3355,2016-05-13,90.2
3356,2016-05-14,90.58
3357,2016-05-15,88.35
3358,2016-05-16,90.66
3359,2016-05-17,87.99
3360,2016-05-18,95.7
3361,2016-05-19,96.42
3362,2016-05-20,86.17
3363,2016-05-21,83.08
3364,2016-05-22,79.46
3365,2016-05-23,83.89
3366,2016-05-24,84.89
3367,2016-05-25,108.89
3368,2016-05-26,97.56
3369,2016-05-27,83.42
3370,2016-05-28,71.04
3371,2016-05-29,69.56
3372,2016-05-30,76.07
3373,2016-05-31,94.6
3374,2016-06-01,101.4
3375,2016-06-02,101.09
3376,2016-06-03,94.07
3377,2016-06-04,73.16
3378,2016-06-05,66.39
3379,2016-06-06,65.75
3380,2016-06-07,63.19
3381,2016-06-08,64.07
3382,2016-06-09,63.99
3383,2016-06-10,62.56
3384,2016-06-11,60.59
3385,2016-06-12,63.25
